Collectors,IP,Server Env,DB Type,FO,Main Application,Version,FQDN,CM
sdcpiapplnx121,172.21.68.81,NON PROD,MONGODB,Primary,,11.2,sdcpiapplnx121.deerfield.aim.local,x099
sdcpiapplnx123,172.21.68.83,PROD,MSSQL,Primary,,11.2,sdcpiapplnx123.deerfield.aim.local,x099
sdcpiapplnx124,172.21.68.84,NON PROD,SYBASE,Primary,,11.2,sdcpiapplnx124.deerfield.aim.local,x099
sdcpiapplnx096,172.21.68.56,MISC,MONGODB,Primary,,11.3,sdcpiapplnx096.deerfield.aim.local,x098
sdcpiapplnx097,172.21.68.57,DEV,MONGODB,Primary,,11.2,sdcpiapplnx097.deerfield.aim.local,x099
sdcpiapplnx122,172.21.68.82,Initial,All,Primary,,11.2,sdcpiapplnx122.deerfield.aim.local,x099
sdcpiapplnx164,172.21.68.33,PROD,SYBASE,Primary,,11.2,sdcpiapplnx164.deerfield.aim.local,x099
sdcpiapplnx125,172.21.68.87,PROD,SYBASE,Primary,,11.2,sdcpiapplnx125.deerfield.aim.local,x099
sdcpiapplnx181,172.21.68.33,NON PROD,MSSQL,FO,,11.2,sdcpiapplnx181.deerfield.aim.local,x099
sdcpiapplnx182,172.21.68.33,NON PROD,SYBASE,FO,,11.2,sdcpiapplnx182.deerfield.aim.local,x099
sdcpiapplnx104,172.21.68.64,NON PROD,MONGODB,Primary,,11.2,sdcpiapplnx104.deerfield.aim.local,x099
sdcpiapplnx119,172.21.68.79,PROD,MONGODB,Primary,,11.2,sdcpiapplnx119.deerfield.aim.local,x099
sdcpiapplnx110,172.21.68.70,PROD,MONGODB,Primary,,11.2,sdcpiapplnx110.deerfield.aim.local,x099
sdcpiapplnx087,172.21.68.42,NON PROD,MSSQL,Primary,,11.2,sdcpiapplnx087.deerfield.aim.local,x099
sdcpiapplnx089,172.21.68.44,DEV,MSSQL,Primary,,11.2,sdcpiapplnx089.deerfield.aim.local,x099
sdcpiapplnx090,172.21.68.45,PROD,MSSQL,Primary,,11.2,sdcpiapplnx090.deerfield.aim.local,x099
sdcpiapplnx091,172.21.68.46,PROD,SYBASE,Primary,,11.2,sdcpiapplnx091.deerfield.aim.local,x099
sdcpiapplnx092,172.21.68.47,PROD,SYBASE,Primary,,11.2,sdcpiapplnx092.deerfield.aim.local,x099
sdcpiapplnx100,172.21.68.60,PROD,SYBASE,Primary,,11.2,sdcpiapplnx100.deerfield.aim.local,x099
